 ,CXF-2087,Bug,CXFServlet / URIResolver tries to load file &quot;&quot; (empty file name),None,Minor
 ,CXF-2084,Bug,AbstractMessageResponseTimeInterceptor has protected methods  but default (package) scope constructor,Core,Major
60d73be576c929e9e45fbed90ba668a4d88a7329,/,/,    JAXRS : encoding related fixes,/,/,0
efec17afdd883853d0866f1525049034a7ea6639,CXF-2108,Bug,idl2wsdl NullPointerException at typedef with sequence of (named) fixed array,Tooling,Minor,1
a9aee17a452ce8331d077e2b3e5ae2a50d8f2e59,/,/,    Fix corba bank demo,/,/,0
d063914fa23c2a07683c6a44791f9530a0a20e8d,/,/,    Wrong future,/,/,0
425bccd31f1c7a7c9a1ac66b921ffd24ddaf7c94,/,/,    Fix problems with methods ending in Async always being treated async,/,/,0
a0d1f98cb0552ad1b83435499c23d19a1e4e2f22,/,/,    Close the input stream so temp file is deleted.,/,/,0
6106919f22c14ff856eabd5a00c65f051edbd0c3,CXF-2106,Bug,Temp files created for data over 64kb are never deleted,Core,Major,1
826deb6f823705116b4f05b40264f286c77de180,/,/,    Try again to add these.,/,/,0
41b3def550fe6dc21e801008b1881b03b087afa5,CXF-2093,Bug,CXF Compatiblity,Integration,Major,1
91429e8b683ea679fca27c1096d077304492c6cf,/,/,    Fix build failures,/,/,0
5680fe2681bbfad4f673c7267f147069cc7a0a22,/,/,    added javadoc for addBefore and addAfter,/,/,0
d155a37525d874b598c60501cb06593a0a5bebed,CXF-2104,Bug,Caller application hangs in case it uses the polling (Response) method with JAX-WS async mapping and an http error occurs during sending. In case of callback style (AsyncHandler)  the client application has no way of getting the exception.,JAX-WS Runtime,Major,1
68071cf7e139aabe777bd778fab2494ab989812d,/,/,    Work toward validate.   The MS server is not responding at all to validate or cancel requests (hang) so I'm not sure if they are correct yet or not.,/,/,0
947e196dbc3ec0476d3ea320ece84f677519bd7f,CXF-2105,Bug,The CxfBusLifeCycleManager can cause ConcurrentModificationExceptions to be thrown,Core,Major,1
f634980f67da679f9e7f8a020da110fc76ad153e,/,/,    JAXRS : getting rid of ProviderFactory singletons,/,/,0
8b77d818fbc3ed464e736d6d64b102aa7581ac65,/,/,    Make the msv stuff optional for osgi,/,/,0
96f58be71d1e23acbfd189dc006eb27e6f025172,CXF-2098,Bug,The @PathParam change from &apos;+&apos; to space.,JAX-RS,Major,1
607b1f49c5f17fbf577e5f15abf5c440eba64e49,/,/,    Finish out the modularity to allow Aegis validation at some point. If this much is in 2.2.0  2.2.x can,/,/,0
da703137130168a9a21b072ee711052fc85edc43,/,/,    On the one hand  more work toward schema validation with Aegis. On the other hand  turn it back off until I have a working,/,/,0
ef3112973f50e058e54a06c4048fd78d7bfb071b,CXF-2085,Bug,Applications classloader should be set during method invocations.,None,Major,1
9a28d71ccb43c9ed131679f81464fc1d92595949,/,/,    Make sure expired and cancelled tokens get cleaned up.,/,/,0
e6d5d809c96b1a1c8885fdd4c0e40edcc9e3e1ae,/,/,    Update id to match what hudson expects,/,/,0
a376a2e11329d179f49a1312044d478e4539fba0,/,/,    Update to deploy snapshots to nexus,/,/,0
9baa155055709444636adac0c665c39575610eb5,CXF-2075,Bug,Error in spring config file reported as a missing config file during initialization of BusApplicationContext,Core,Major,1
ded332f7d333ccd0a6ddc8efe594c5022711d04e,CXF-2100,Bug,Digest auth is broken,Transports,Major,1
f0be6796a3e4ff007bb7c1716110e93a4072667a,CXF-2076,Bug,InstantiationException trying to create wrapper object when using xmlbeans databinding,Tooling,Major,1
caaa1862e12f331ed9222fa740eb09dbc0b6601a,CXF-2099,Improvement,support XMLSchema Vaildation in XMLBeans DataBinding,None,Major,1
2f2980506c3fb458896cb7c0fe413ae15649a89c,CXF-2076,Bug,InstantiationException trying to create wrapper object when using xmlbeans databinding,Tooling,Major,1
6c23d7824ddb01bbba1f2ff6acd261ed88f75444,/,/,    Fix the broken build,/,/,0
302e48db749d78aaca1923b4784addc43e82aa66,/,/,    Start progressing toward a cancel operation,/,/,0
f5532d48cf9d8198305ede750f142996efe5c8f5,/,/,    added javadoc to AbstractPhaseInterceptor,/,/,0
