CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,LC_1,FileAdd,FileDelete,NAD,NUC,AGE,NMS,NMD,Entropy ,MLMF,NDVE,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
7c13fb72742ce1deaf96c7e605e515b973c819f8,1,3,0,3,3,0,0,0,3,65,1,1,0,188,1,246,24,26,25,1,1049,1031,18,15,15,0,0,100,NoArch
d56d11d7ac4962506bbf3326717160472f12db77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,100,NoArch
696b59e923160de6fddd9f50334f4ba0d327a051,24,1487,4,1483,1491,22,0,22,2,36,3,11,4.211678525,199,2,8,1,130,26,104,4683,707,3976,85,15,70,1,99.35631108,NoArch
598c7ad7eccdc2d27c684ad0355c012af3804ea0,1,1,3,2,4,0,0,0,2,441,1,1,0,105,1,247,21,8,9,1,670,686,16,3,3,0,0,100,NoArch
0903437c733e0f3d526fbb82082ac7a53c8b2c0c,3,22,10,12,32,0,0,0,5,173,1,2,0.73806367,846,5,5,2,98,95,3,4427,4351,76,36,36,0,1,100,NoArch
8bc50b04b13a143a8b79b5bcc3787ee87fe0eab7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,100,NoArch
91b4846ec974aa0ea9bbfe1eda6f1c6e16375d6a,1,10,7,3,17,0,0,0,3,29,1,1,0,217,1,248,16,22,21,1,888,876,12,3,3,0,0,100,NoArch
332f1b45a6e551050752c21e23bbed55e21a951c,38,1740,355,1385,2095,1,0,1,9,91,5,14,3.253866124,8243,2,249,17,1236,970,266,51002,42794,8208,499,448,51,0,94.78129713,Arch
0de08872db3fa32578874646dab9518752e19a3c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,100,NoArch
a8f53d1380952825fb74d82e09a125c020c56615,4,302,92,210,394,0,0,0,8,0,2,3,0.931306032,1856,1,250,18,348,306,42,12211,10942,1269,79,74,5,0,100,NoArch
031f11ffa7853777c254cd06828950857b0fedff,2,11,0,11,11,0,0,0,5,1,1,2,0.845350937,900,1,251,19,169,167,2,5377,5329,48,30,30,0,0,100,NoArch
741c3aa9893d109d0b14dad1fcbf751dc2f09cab,12,620,507,113,1127,2,0,2,9,74,1,3,3.000552079,2385,5,9,1,284,271,13,11952,11273,679,139,121,18,1,93.5795524,Arch
f32830cddeb243b3d494dcd4579b0ef7150bbb22,15,1540,260,1280,1800,4,0,4,10,19,1,7,2.854700015,3805,1,252,19,814,633,181,26048,20042,6006,210,149,61,0,99.56318989,NoArch
5360ef22762d0560f93553daade07c377a3ff829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,1,100,NoArch
e97086a1c565c56d683ad10b621c8988b5408c45,4,319,0,319,319,4,0,4,1,0,1,2,1.557721287,0,1,63,5,11,0,11,1520,0,1520,10,0,10,0,99.94734071,NoArch
d65d7c66ebab5774fba982e6f53c03073c55b42e,9,301,143,158,444,0,0,0,17,32,1,5,2.291137748,5603,1,253,16,1130,1087,43,34017,32830,1187,302,292,10,0,100,NoArch
36c3d623232982c76ec0a44898f0b621158a92d9,1,3,3,0,6,0,0,0,8,0,1,1,0,1122,1,254,17,218,219,1,6984,6994,10,41,41,0,0,100,NoArch
502c3af515f936cfa4511259621e340da77d3d47,1,3,2,1,5,0,0,0,2,469,1,1,0,243,2,11,3,38,38,0,1158,1145,13,21,21,0,1,100,NoArch
bed93d9f273a386c5e29cd5b305f05189e637f5b,4,9,27,18,36,0,0,0,2,468,1,3,1.816340114,714,2,12,4,93,95,2,3142,3263,121,61,63,2,0,100,NoArch
f677bcb3737d56cdcffc3473fa6fcb50c7de186d,1,4,2,2,6,0,0,0,4,98,1,1,0,437,2,4,0,108,107,1,2729,2721,8,29,29,0,0,100,NoArch
a5c3f455df0fbbfaeacc8f1351c730c3a5e0e25c,2,169,114,55,283,1,0,1,3,49,1,1,0.981683534,174,2,5,1,40,36,4,1397,1194,203,11,7,4,0,99.98830546,NoArch
4d4cf4d322db069851e03183ac20a982017ce9cc,3,195,53,142,248,0,0,0,9,9,1,1,1.203875027,2246,1,255,14,428,393,35,13785,13124,661,66,65,1,0,100,NoArch
79be615e94c8f11bf32b09255c2b87dc9cc7e760,18,603,1136,533,1739,0,3,3,10,90,1,4,3.412288594,2961,2,0,0,259,320,61,11737,13768,2031,146,153,7,1,93.62348178,Arch
cb2544fda749a74b2ba7c93dfed48892bb8523ae,2,5,1,4,6,0,0,0,7,238,2,2,0.918295834,498,4,256,14,34,34,0,2202,2178,24,29,29,0,0,100,NoArch
7572ae590bee45881ff32671b9868f0fe2083564,2,6,34,28,40,0,1,1,3,37,1,2,0.721928095,112,3,1,1,7,8,1,282,293,11,4,5,1,1,99.98916694,NoArch
3f742349af9b52d001c27ee19dd708b615cec9fb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,100,NoArch
aec5212a93eaea503b916d92ff6167609ab73e63,1,2,2,0,4,0,0,0,11,0,1,1,0,258,5,3,3,26,26,0,1323,1323,0,11,11,0,0,100,NoArch
2f1f50f22571471371335173982ed6d6716523ab,2,29,5,24,34,0,0,0,6,373,2,2,0.989992792,1168,2,14,0,195,188,7,6104,5896,208,59,59,0,0,100,NoArch
de6fbfd72682c66bcee03412fa2fad019c72590e,1,1,1,0,2,0,0,0,7,0,1,1,0,1109,3,64,1,193,192,1,5713,5709,4,57,57,0,1,100,NoArch
7c38f181739e19dcf3a936f9cee3ab8112e14225,3,79,45,34,124,0,0,0,5,95,1,2,0.832037841,556,2,65,2,51,45,6,3275,3051,224,41,38,3,1,100,NoArch
08d17ea0c758ce444bc6402ad930304f48259d6b,4,397,1,396,398,1,0,1,4,328,2,2,1.210988558,679,2,66,3,168,109,59,4649,3043,1606,81,54,27,0,93.69478799,Arch
86adc223e36df6af5049d5ca19751baff6e85b27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,100,NoArch
baafc8c97a83096a41a90bdbda1269d4435853d1,1,3,2,1,5,0,0,0,2,280,1,1,0,113,2,5,5,7,7,0,542,527,15,7,7,0,0,100,NoArch
241381f7814d7c1b9d44b3747584b23757b270da,10,270,200,70,470,1,0,1,12,9,1,2,2.587822402,1873,2,6,6,204,197,7,9831,9699,132,95,94,1,1,97.37972036,Arch
561a0319d889ef38a70c8bc78e4ba96e6f63678c,1,1,1,0,2,0,0,0,2,489,1,1,0,52,2,6,0,5,5,0,162,162,0,5,5,0,0,100,NoArch
2bef64fafd3a0e6ab941b0c2af50c45a540da005,6,115,22,93,137,1,0,1,13,6,1,1,2.137165947,1097,2,7,7,159,147,12,5391,5044,347,99,90,9,1,99.98922994,NoArch
8b71dbf5b560fe5210dc9509fbf3aa9e3e8b5128,1,8,3,5,11,0,0,0,3,224,1,1,0,186,2,7,1,22,22,0,814,814,0,7,7,0,0,100,NoArch
0d5f6534e0ac0bfa658848fa367ad9034bf9bd04,1,13,1,12,14,0,0,0,2,0,1,1,0,54,1,8,8,8,5,3,243,162,81,4,3,1,1,99.92460553,NoArch
22dc0bcd1344678aad1ec4b1094e022ecb4af2f3,2,8,1,7,9,0,0,0,18,71,2,2,0.764204507,2421,4,15,1,548,546,2,14864,14839,25,136,136,0,0,100,NoArch
