NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,NIR,a2a,Tag
18,357,120,237,0,0,0,1,23,417,1,8,3.46850685,12628,1306,4,1975,1937,38,65630,64315,1315,850,837,13,1,85.50157918,Arch
39,404,445,41,0,0,0,6,47,492,1,12,4.590492059,33333,1313,11,4031,4034,3,132708,132222,486,1611,1610,1,1,94.76685251,Arch
80,3606,1721,1885,4,0,4,4,80,451,1,22,4.285161172,67395,1320,18,7176,6915,261,295314,284362,10952,3500,3328,172,2,97.226831,Arch
10,232,142,90,1,0,1,4,81,0,1,4,2.379763201,17425,1321,19,1555,1544,11,75035,74470,565,699,693,6,1,97.30726257,Arch
8,276,98,178,0,0,0,6,55,347,1,6,2.173850287,20598,17,0,1701,1679,22,76656,75849,807,779,773,6,1,96.12491452,Arch
37,1418,198,1220,3,0,3,1,57,112,1,7,3.194714865,17647,1356,9,2175,2029,146,88051,80794,7257,926,868,58,1,96.7308667,Arch
24,618,119,499,1,0,1,3,86,443,1,11,3.586947405,27079,1358,6,2325,2288,37,116680,113859,2821,1106,1087,19,1,91.1152648,Arch
189,0,0,0,0,0,0,1,1,0,1,24,0.0,78649,37,7,11495,11495,0,377829,377829,0,6640,6640,0,1,90.48570358,Arch
5,214,0,214,1,0,1,7,38,52,1,5,2.208871181,20896,0,0,1093,1083,10,65299,64537,762,781,777,4,1,87.39082969,Arch
10,324,381,57,0,1,1,7,39,145,1,7,2.588520944,26629,1368,13,1594,1596,2,88846,88602,244,974,970,4,1,87.39082969,Arch
17,2431,12,2419,12,0,12,1,30,150,2,5,2.749253494,2776,1390,8,690,377,313,24808,13112,11696,289,175,114,1,89.75646229,Arch
10,132,1,131,1,0,1,8,40,313,1,8,2.143787424,26307,0,0,1961,1952,9,95265,94771,494,1158,1151,7,1,94.80812641,Arch
4,296,323,27,0,0,0,4,28,651,2,4,1.364616916,4117,1403,3,432,428,4,22419,22547,128,228,222,6,0,95.99236641,Arch
15,232,80,152,1,0,1,1,8,104,1,7,3.28740704,23473,98,9,3758,3741,17,122442,121735,707,2085,2076,9,1,97.34291253,Arch
22,1211,167,1044,1,0,1,24,92,62,1,8,3.200858714,41462,3,0,4003,3890,113,169370,164952,4418,2006,1910,96,1,94.65611686,Arch
231,0,99586,99586,0,231,231,1,14,722,1,27,5.176749487,99586,128,3,0,13906,13906,0,493196,493196,0,8035,8035,1,85.52667957,Arch
15,753,163,590,0,0,0,24,94,214,1,11,2.83058769,35711,6,0,2927,2887,40,134497,131993,2504,1410,1393,17,1,92.44450978,Arch
6,400,197,203,0,0,0,6,36,14,1,2,1.545002885,4169,6,3,517,506,11,20210,19435,775,196,187,9,1,87.9767379,Arch
19,2092,131,1961,2,1,3,8,66,99,1,9,2.189147061,17299,79,1,2259,2005,254,96853,87116,9737,923,849,74,1,95.20746626,Arch
