NMF,LC,NAD, NUC, NMS, NMD, Entropy ,MLMF,CFC,NCC,NMC,a2a
3,165,1,3,1,2,1.563853487,299,20,787,10,99.24973205
7,89,0,21,1,2,2.494648942,1083,9,392,6,100
0,0,0,0,0,0,0,0,0,0,0,100
4,635,4,1,1,2,1.836714815,0,59,3086,43,96.8238691
3,12,0,14,1,2,1.122113677,839,0,60,0,100
22,34,0,22,1,7,3.195262175,2151,1,139,2,100
2,3,0,3,1,2,0.139232999,206,1,11,1,100
3,309,0,5,1,2,1.411381262,407,23,1928,10,99.2139738
3,309,0,6,1,2,1.418782847,716,23,1928,10,99.2139738
29,761,10,38,1,9,3.92073633,2455,107,4689,92,89.93288591
1,2,0,36,1,1,0,430,0,18,0,100
5,385,2,7,1,2,1.959087684,407,28,2182,13,97.23991507
6,72,0,23,1,4,2.450371212,749,12,360,4,100
2,37,0,41,1,2,0.421166015,1703,9,327,4,100
1,6,0,42,1,1,0,1116,2,38,0,100
0,0,0,0,0,0,0,0,0,0,0,100
3,8,0,32,1,3,1.014097656,490,1,16,1,100
0,0,0,0,0,0,0,0,0,0,0,100
14,2354,13,20,1,3,3.442132587,252,184,12072,73,94.59459459
1,1,0,2,1,1,0,220,0,11,0,100
27,40,1,40,1,12,4.100905002,6318,9,82,4,93.90774587
2,2,0,4,1,2,0.650022422,143,0,21,0,100
4,279,1,34,1,4,1.468546093,1168,42,1340,34,99.1290578
4,65,0,5,1,2,1.669311823,412,9,472,5,100
8,629,2,3,1,2,1.835681021,895,72,3141,22,98.96988906
3,221,0,43,1,3,0.681162934,2134,60,1587,12,100
1,7,0,38,1,1,0,432,0,23,0,100
2,1,0,6,1,2,0.619382195,235,0,2,0,100
0,0,0,0,0,0,0,0,0,0,0,100
2,16,0,44,1,2,0.543564443,1969,2,94,1,100
2,30,0,43,1,2,0.727300679,873,6,189,2,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
13,794,4,4,1,3,2.96061103,1576,95,3926,55,98.0127186
0,0,0,0,0,0,0,0,0,0,0,100
2,53,0,6,1,1,0.225363639,227,3,356,1,100
2,37,0,44,1,2,0.99947302,1136,12,262,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
4,50,0,21,1,2,1.83958346,968,9,231,10,100
3,33,1,33,1,3,1.453147172,940,5,87,2,99.84326019
5,44,0,34,1,3,1.590506546,1738,8,358,3,99.76544175
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
6,6,0,23,1,4,2.113571995,1273,0,29,0,100
1,1,0,24,1,1,0,237,0,9,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
4,73,0,5,1,4,1.999597534,419,0,0,0,100
4,76,1,4,1,2,1.46757542,915,10,496,6,99.68823071
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
1,17,0,2,1,1,0,29,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
8,12,0,45,1,4,2.682356251,2863,0,48,1,99.9222395
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
1,0,0,17,1,1,0,194,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
2,36,0,24,1,2,0.710676854,409,5,188,2,100
1,7,0,37,1,1,0,389,0,40,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
7,271,3,8,1,2,2.195529186,1110,24,1080,10,99.53271028
0,0,0,0,0,0,0,0,0,0,0,100
8,12,0,45,1,4,2.682356251,2894,0,48,1,99.92199688
7,271,3,5,1,2,2.195529186,1366,24,1080,10,99.53271028
7,271,3,8,1,2,2.195529186,1095,24,1080,10,99.53271028
7,271,3,5,1,2,2.195529186,1366,24,1080,10,99.53271028
7,271,3,8,1,2,2.195529186,1095,24,1080,10,99.53271028
0,0,0,0,0,0,0,0,0,0,0,100
7,271,3,5,1,2,2.195529186,1366,24,1080,10,99.53271028
7,271,3,8,1,2,2.195529186,1095,24,1080,10,99.53271028
7,271,3,5,1,2,2.195529186,1366,24,1080,10,99.53271028
7,271,3,8,1,2,2.195529186,1095,24,1080,10,99.53271028
7,271,3,5,1,2,2.195529186,1366,24,1080,10,99.53271028
8,271,3,17,1,3,2.241164338,1289,24,1080,10,99.53271028
7,271,3,5,1,2,2.195529186,1366,24,1080,10,99.53271028
7,271,3,8,1,2,2.195529186,1095,24,1080,10,99.53271028
