@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-12,14-26,28'

@attribute ' Entropy ' numeric
@attribute a2a numeric

@data
7.784302,87.907489
7.783607,87.907489
7.784302,87.907489
7.784633,87.907489
7.78553,87.86878
7.784845,87.86878
7.78553,87.86878
7.784845,87.86878
7.78553,87.86878
7.784845,87.86878
7.78553,87.86878
7.784845,87.86878
3.268486,89.631285
7.816566,84.924506
7.816051,84.924506
7.816566,84.924506
7.817416,84.924506
7.814822,84.924506
7.823075,84.924506
7.816283,84.924506
7.838372,85.054477
7.839465,85.054477
7.839944,85.054477
7.839465,85.054477
7.838833,85.054477
7.839331,85.054477
7.838238,85.054477
7.838777,85.054477
7.838238,85.054477
7.839368,85.054477
3.268486,89.631285
3.337391,93.925348
3.337391,93.925348
3.560316,93.925348
3.337391,93.925348
3.268497,93.925348
3.256447,93.925348
3.256447,93.925348
3.256447,93.925348
3.256447,93.925348
3.256447,93.925348
3.28118,93.925348
3.28118,93.925348
3.423604,93.925348
3.28118,93.925348
3.277286,93.925348
3.256447,93.925348
3.41506,93.925348
3.256447,93.925348
3.280512,93.925348
3.256447,93.925348
3.256447,93.925348
3.256447,93.925348
3.300234,93.876555
3.256447,93.962356
3.273092,93.962356
3.256447,93.962356
3.256447,93.962356
3.256447,93.868371
3.3472,93.868371
3.256447,93.868371
3.256447,93.868371
3.256447,93.868371
3.438325,93.800284
3.256447,93.874172
3.256447,93.874172
3.256447,93.874172
3.26028,93.874172
3.319288,93.874172
3.319288,93.874172
3.319288,93.874172
3.319288,93.874172
3.319288,93.874172
3.33109,93.874172
3.319288,93.874172
3.408218,93.826869
3.319288,93.874172
3.325347,93.874172
0.589752,97.760041
3.614225,94.165863
3.614225,94.165863
3.648368,94.165863
3.680654,94.165863
3.648368,94.165863
3.648368,94.165863
3.821359,94.117647
3.774384,94.117647
4.000752,94.093539
4.039697,94.093539
4.000752,94.093539
4.562116,90.253411
4.562116,90.253411
4.568789,90.253411
4.568789,90.253411
4.598452,90.253411
4.598452,90.253411
4.609731,90.253411
4.598452,90.253411
4.598452,90.253411
4.598452,90.253411
4.598452,90.253411
4.598452,90.253411
4.598452,90.253411
4.598452,90.253411
4.598452,90.253411
0,97.970639
4.598452,89.860217
4.598452,89.860217
4.610385,89.860217
4.615154,89.860217
4.610385,89.860217
4.672204,89.83803
4.610385,89.860217
4.632761,89.860217
4.632761,89.860217
4.62789,89.860217
4.627949,89.860217
4.62789,89.860217
4.627949,89.824873
4.62789,89.824873
4.627949,89.824873
4.365375,89.824873
4.389933,89.824873
4.383254,89.824873
4.382999,89.824873
4.585394,89.600887
4.583945,89.600887
4.585394,89.600887
4.583945,89.600887
4.838667,89.553234
4.836829,89.553234
4.84419,89.553234
5.164628,89.242054
5.165815,89.242054
5.164628,89.242054
