CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a
901e5999865d7f4456acd72bf25b90e625c680e7,1,2,1,1,0,0,0,8,84,5,1,1,0,1028,1196,17,130,129,1,4529,4510,19,25,25,0,1,100
f52c2d2dd6f277c91e8b01adb65179e9809f76e8,1,45,1,44,0,0,0,13,291,5,1,1,0,815,1197,18,89,85,4,4465,4195,270,15,13,2,0,100
66b0cd1d4444dd845338ab8eccc3841e69183e3f,1,3,3,0,0,0,0,3,15,5,1,1,0,277,1198,19,37,37,0,1468,1470,2,6,6,0,0,100
15f0acf6b62b4bfb324c646c3554da8f8aa6e187,1,1,0,1,0,0,0,8,42,6,1,1,0,165,1199,20,9,9,0,591,584,7,6,6,0,1,100
53cd87f2d9cc21aeeb26ba525ab7d467ae226648,1,1,0,1,0,0,0,13,292,0,1,1,0,859,1200,21,89,89,0,4485,4465,20,15,15,0,0,100
7b9b88effc5a71831a5eb2d77500925070edb44d,2,17,4,13,0,0,0,2,3,186,1,1,0.591672779,98,1201,22,5,4,1,306,257,49,3,3,0,0,100
16759b10fe01c95cb1a7f8311723b4f446fd201e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202,23,0,0,0,0,0,0,0,0,0,0,100
87ac7b2c146404e6594a94f7133774040543e36f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,100
af9798e325adf796bf7641161b51b4e352bffb13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,24,0,0,0,0,0,0,0,0,0,0,100
8c13978af5dc13030018c837a855e8263fb73248,2,29,17,12,0,0,0,3,11,16,2,2,0.994538682,254,1204,25,25,23,2,1275,1163,112,8,8,0,0,100
1cbef71e7b761eb7ac5c07fb2e8f71cedc8b1292,2,4,14,10,0,0,0,1,2,16,2,2,0.99107606,774,1205,26,97,98,1,4421,4459,38,34,34,0,2,100
546399c38d0bdcd3fd373ab128ea339d696bc82b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206,27,0,0,0,0,0,0,0,0,0,0,100
