CommitID,FileName,FromFile,ToFile,FileDeps,FilesDeps,CommitDeps
c1e75de882bf7e9eb669f2d6b8c23330b7c3313e,/,0,0,0,0,494
2af1f70cdad4fb612bc22634ae183bd11e6e96e6,SpecificCompiler.java,4,2,6,6,493
844b081141f6e1e42231e9598c167cbf547af488,HttpServer.java,4,2,6,10,1479
,HttpTransceiver.java,1,3,4,,
,ResponderServlet.java,0,0,0,,
db971a2ecfa4990f3512afac14acc1fb37248a42,AvroRuntimeException.java,0,19,19,40,1488
,SchemaParseException.java,1,2,3,,
,GenericData.java,9,9,18,,
2427f18b729c51eb485f580572086bc782974d4a,/,0,0,0,0,497
1e5e8c2a8ed193f94a0c34216efee7fc83c48ed9,/,0,0,0,0,497
8e900b4a1450bc64057a257efa7682daf5da1c8b,/,0,0,0,0,497
12b51f98003fb0af5966eb6710a8270d69dd7ee3,AvroRuntimeException.java,0,19,19,673,25792
,Protocol.java,3,11,14,,
,Schema.java,17,46,63,,
,SchemaParseException.java,1,2,3,,
,DataFileConstants.java,0,2,2,,
,DataFileReader.java,7,2,9,,
,DataFileWriter.java,6,3,9,,
,GenericData.java,9,9,18,,
,GenericDatumReader.java,11,9,20,,
,JsonEncoder.java,9,2,11,,
,JsonGrammarGenerator.java,3,3,6,,
,Parser.java,4,9,13,,
,Symbol.java,0,11,11,,
,DatagramServer.java,4,1,5,,
,DatagramTransceiver.java,1,2,3,,
,HttpServer.java,4,2,6,,
,HttpTransceiver.java,1,3,4,,
,RPCContext.java,2,4,6,,
,RPCPlugin.java,1,3,4,,
,Requestor.java,49,16,65,,
,Responder.java,43,18,61,,
,ResponderServlet.java,3,1,4,,
,Server.java,11,18,29,,
,SocketServer.java,3,8,11,,
,SocketTransceiver.java,1,9,10,,
,ReflectData.java,10,12,22,,
,ReflectDatumReader.java,4,6,10,,
,ReflectDatumWriter.java,5,5,10,,
,ReflectRequestor.java,12,4,16,,
,ReflectResponder.java,12,4,16,,
,ProtocolTask.java,2,1,3,,
,SchemaTask.java,2,0,2,,
,SpecificCompiler.java,4,2,6,,
,SpecificData.java,6,6,12,,
,SpecificDatumReader.java,5,5,10,,
,SpecificDatumWriter.java,5,5,10,,
,SpecificRequestor.java,10,6,16,,
,SpecificResponder.java,6,6,12,,
,RPCMetaTestPlugin.java,3,3,6,,
,TestBulkData.java,8,0,8,,
,TestCompare.java,12,0,12,,
,TestDataFile.java,10,0,10,,
,TestDataFileReflect.java,9,0,9,,
,TestFsData.java,0,0,0,,
,TestNamespaceReflect.java,5,0,5,,
,TestNamespaceSpecific.java,7,1,8,,
,TestProtocolDatagram.java,6,0,6,,
,TestProtocolGeneric.java,14,1,15,,
,TestProtocolHttp.java,6,0,6,,
,TestProtocolSpecific.java,8,5,13,,
,TestReflect.java,9,0,9,,
,TestSchema.java,15,0,15,,
466dc8fc715889dbccd793e7fb7802dfcfe1063d,/,0,0,0,0,767
9008a28bff4e06852815d26f4d1dcc2c38654edf,/,0,0,0,0,767
cdeb6ea2198cc94f450ca2ff949c0c198a4f8b00,AvroInputFormat.java,0,0,0,0,9958
,AvroJob.java,0,0,0,,
,AvroKeyComparator.java,0,0,0,,
,AvroKeySerialization.java,0,0,0,,
,AvroMapper.java,0,0,0,,
,AvroOutputFormat.java,0,0,0,,
,AvroRecordReader.java,0,0,0,,
,AvroReducer.java,0,0,0,,
,AvroWrapper.java,0,0,0,,
,FsInput.java,0,0,0,,
,TestWordCountGeneric.java,0,0,0,,
,TestWordCountSpecific.java,0,0,0,,
,WordCountUtil.java,0,0,0,,
492dc3b8f8a1b5dbf98b6c30b79b18ec87e7e89e,/,0,0,0,0,830
e7456bf58156eaf072e18416e90a6ec2494eae94,/,0,0,0,0,830
be73ec7ae269c3f503e55211add6b8cf9cb1fe50,/,0,0,0,0,830
9b8e375aea658b40495f91bfad343464d3824dfa,/,0,0,0,0,830
11dc42ad6478ab67d753a9f1b657cdaba0669b29,/,0,0,0,0,830
e18f9ca99b848f301b6349869d2512f706dc73f3,/,0,0,0,0,830
ed9239ee042925d1d37949e7954ae971fe391fc6,/,0,0,0,0,830
a23505906e4fe76706365ff7aa92f386fb6fcf97,/,0,0,0,0,830
f85120ba79690dc094ea33606facda1db19631ae,/,0,0,0,0,830
5c7b7486d1cbedbc006d5e9a7dfbcea7678a8311,/,0,0,0,0,830
ff664ef8a34de6dac9044875d4059c1493ce6528,/,0,0,0,0,830
e1311b64517df7b121eb4878b8bde174db88f0cf,/,0,0,0,0,830
