CommitID,FileNum,TotalAddLines,TotalDeleteLines,FileName,AddLines,DeleteLines,CodeLines,FileAdd,FileDelete
,,,,src/java/org/apache/avro/specific/SpecificData.java,0,71,71,,
,,,,src/java/org/apache/avro/specific/SpecificDatumReader.java,2,2,48,,
,,,,src/java/org/apache/avro/specific/SpecificDatumWriter.java,2,2,36,,
,,,,src/java/org/apache/avro/specific/SpecificExceptionBase.java,1,2,41,,
,,,,src/java/org/apache/avro/specific/SpecificFixed.java,0,1,29,,
,,,,src/java/org/apache/avro/specific/SpecificRecord.java,3,3,28,,
,,,,src/java/org/apache/avro/specific/SpecificRecordBase.java,5,13,72,,
,,,,src/java/org/apache/avro/specific/SpecificRequestor.java,4,29,81,,
,,,,src/java/org/apache/avro/specific/SpecificResponder.java,2,2,41,,
,,,,src/java/org/apache/avro/util/Utf8.java,3,10,87,,
,,,,src/test/java/org/apache/avro/BarRecord.java,0,53,53,,
,,,,src/test/java/org/apache/avro/FooRecord.java,0,47,47,,
,,,,src/test/java/org/apache/avro/GenerateBlockingData.java,0,85,85,,
,,,,src/test/java/org/apache/avro/RPCMetaTestPlugin.java,0,176,176,,
,,,,src/test/java/org/apache/avro/RandomData.java,1,2,139,,
,,,,src/test/java/org/apache/avro/TestCompare.java,0,222,222,,
,,,,src/test/java/org/apache/avro/TestDataFile.java,4,4,141,,
,,,,src/test/java/org/apache/avro/TestDataFileReflect.java,0,176,176,,
,,,,src/test/java/org/apache/avro/TestFsData.java,5,3,139,,
,,,,src/test/java/org/apache/avro/TestProtocolGeneric.java,15,15,192,,
,,,,src/test/java/org/apache/avro/TestProtocolGenericMeta.java,0,42,42,,
,,,,src/test/java/org/apache/avro/TestProtocolReflect.java,2,2,39,,
,,,,src/test/java/org/apache/avro/TestProtocolReflectMeta.java,0,45,45,,
,,,,src/test/java/org/apache/avro/TestProtocolSpecific.java,8,8,167,,
,,,,src/test/java/org/apache/avro/TestProtocolSpecificMeta.java,0,46,46,,
,,,,src/test/java/org/apache/avro/TestReflect.java,8,108,155,,
,,,,src/test/java/org/apache/avro/TestSchema.java,17,76,292,,
,,,,src/test/java/org/apache/avro/io/TestBinaryDecoder.java,10,10,78,,
,,,,src/test/java/org/apache/avro/io/TestBlockingIO.java,29,45,483,,
,,,,src/test/java/org/apache/avro/io/TestBlockingIO2.java,0,163,163,,
,,,,src/test/java/org/apache/avro/io/TestParsingTable.java,222,0,0,,
,,,,src/test/java/org/apache/avro/io/TestResolvingIO.java,259,112,213,,
,,,,src/test/java/org/apache/avro/io/TestResolvingIO_resolving.java,0,120,120,,
,,,,src/test/java/org/apache/avro/io/TestResolvingTable.java,406,0,0,,
,,,,src/test/java/org/apache/avro/io/TestValidatingIO.java,222,419,844,,
,,,,src/test/java/org/apache/avro/test/TestInvocationReporter.java,35,0,0,,
,,,,src/test/java/org/apache/avro/test/TestOutputInterceptor.java,39,0,0,,
,,,,src/test/java/org/apache/avro/test/TestSuiteInterceptor.java,39,0,0,,
cea9e51cfb33fb2baef302e0e7c1f4bf8f87a9f6,0,0,0,/,-1,-1,-1,0,0
fc44dd5d2201fae7208660c0bfb5d4847f452c87,0,0,0,/,-1,-1,-1,0,0
c7a4f7c2caad4117a71f23ae97cfc10237674be0,0,0,0,/,-1,-1,-1,0,0
cad632eb6c894f77cdf40f8c458491aba9677852,12,302,81,src/java/org/apache/avro/ipc/DatagramServer.java,79,0,0,4,0
,,,,src/java/org/apache/avro/ipc/DatagramTransceiver.java,84,0,0,,
,,,,src/java/org/apache/avro/ipc/RPCContext.java,18,18,149,,
,,,,src/java/org/apache/avro/ipc/RPCPlugin.java,4,4,74,,
,,,,src/java/org/apache/avro/ipc/Requestor.java,8,9,232,,
,,,,src/java/org/apache/avro/ipc/Responder.java,8,21,222,,
,,,,src/java/org/apache/avro/ipc/Server.java,29,0,0,,
,,,,src/java/org/apache/avro/ipc/SocketServer.java,2,2,111,,
,,,,src/java/org/apache/avro/ipc/SocketTransceiver.java,9,7,95,,
,,,,src/test/java/org/apache/avro/RPCMetaTestPlugin.java,17,19,176,,
,,,,src/test/java/org/apache/avro/TestProtocolDatagram.java,42,0,0,,
,,,,src/test/java/org/apache/avro/TestProtocolSpecific.java,2,1,167,,
0c2a837bb14eab720fef8a25409a8e489897b507,1,12,0,src/java/org/apache/avro/generic/GenericData.java,12,0,429,0,0
86614561e4d1dd43a1e508f169c091e7cc935a4c,0,0,0,/,-1,-1,-1,0,0
5661078ce4669dc428f8f59f39aa182666020f38,1,5,2,src/java/org/apache/avro/generic/GenericDatumReader.java,5,2,463,0,0
7c346f7ae726fd3213a9974752a3c4739469f79b,5,29,9,src/java/org/apache/avro/io/JsonEncoder.java,1,3,241,0,0
,,,,src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java,1,2,103,,
,,,,src/java/org/apache/avro/io/parsing/Parser.java,21,0,145,,
,,,,src/java/org/apache/avro/io/parsing/Symbol.java,0,1,383,,
,,,,src/test/java/org/apache/avro/TestSchema.java,6,3,292,,
78983ffcfbf719ee6d190c486074c87779c6663f,0,0,0,/,-1,-1,-1,0,0
777d0477c689d2fd9ebfe72dbd4e4dbab705a99f,25,589,367,src/java/org/apache/avro/Protocol.java,15,2,342,2,0
,,,,src/java/org/apache/avro/Schema.java,95,49,729,,
,,,,src/java/org/apache/avro/ipc/Requestor.java,2,2,231,,
,,,,src/java/org/apache/avro/ipc/Responder.java,2,2,209,,
,,,,src/java/org/apache/avro/reflect/ReflectData.java,70,20,305,,
,,,,src/java/org/apache/avro/reflect/ReflectDatumReader.java,7,24,118,,
,,,,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,8,0,66,,
,,,,src/java/org/apache/avro/reflect/ReflectRequestor.java,1,3,114,,
,,,,src/java/org/apache/avro/reflect/ReflectResponder.java,2,31,129,,
,,,,src/java/org/apache/avro/specific/ProtocolTask.java,3,29,106,,
,,,,src/java/org/apache/avro/specific/SchemaTask.java,2,2,29,,
,,,,src/java/org/apache/avro/specific/SpecificCompiler.java,174,153,288,,
,,,,src/java/org/apache/avro/specific/SpecificData.java,28,1,71,,
