Avro,,Calcite,,Cxf,,Groovy,,Zookeeper,
Release,commit,Release,commit,Release,commit,Release,commit,Release,commit
,100,,100,,100,,94.65153971,,100
,99.1290578,,100,,100,,100,,100
,100,,100,,100,,100,,99.73380657
,98.96988906,,100,,100,,98.42146803,,99.38053097
,100,,99.9528135,,99.96856334,,100,,100
,100,,100,,100,,100,,100
,100,,100,,95.08330121,,100,,99.46949602
,100,,100,,100,,97.34167318,,97.15517241
,100,,100,,99.9293619,,100,,100
,100,,100,,96.82657511,,99.53952417,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,98.0127186,,100,,100,,100,,98.50993377
,100,,100,,100,,100,,98.70550162
,100,,100,,99.96345029,,100,,100
,100,,100,,100,,100,,100
,100,,100,,99.98172849,,100,,100
,100,,100,,99.98173099,,100,,100
,100,,100,,100,,100,,92.85083848
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,99.84326019,,100,,100,,100,,99.60822723
,99.76544175,,100,,100,,100,,100
,100,,100,,99.99086591,,100,,95.24253731
,100,,100,,99.99086758,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,99.96348866,,99.6948894,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,99.55396967
,99.68823071,,100,,100,,99.09228442,,100
,100,,100,,100,,98.4962406,,100
,100,,100,,99.94982439,,98.4962406,,100
,100,,100,,99.96808462,,99.39849624,,100
,100,,100,,99.97265767,,100,,100
,100,,99.5036075,,100,,100,,100
,99.9222395,,100,,100,,100,,100
,100,,100,,100,,99.84984985,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,99.90109379,,100,,100,,100
,100,,94.07953684,,100,,100,,100
,100,,99.39620716,,100,,100,,92.94710327
,100,,100,,99.99088838,,100,,100
,100,,99.95716978,,100,,99.8502994,,99.36102236
,99.53271028,,100,,100,,100,,100
,100,,99.99143542,,100,,100,,100
,99.92199688,,100,,100,,100,,99.75903614
,99.53271028,,100,,100,,100,,99.75903614
,99.53271028,,100,,94.79911264,,100,,100
,99.53271028,,100,,96.89752896,,100,,100
,99.53271028,,100,,99.96761059,,100,,100
,100,,100,,100,,100,,100
,99.53271028,,100,,100,,100,,100
,99.53271028,,100,,100,,100,,100
,99.53271028,,100,,99.93527807,,99.7761194,,99.19224556
,99.53271028,,100,,100,,100,,98.28291087
,99.53271028,,99.96574756,,100,,99.92548435,,100
,99.53271028,,100,,99.9815234,,100,,100
,99.53271028,,88.03808768,,98.63027006,,100,,100
,99.53271028,,100,,100,,100,,100
