NMF,TotalAddLines,TotalDeleteLines,LC,LC_1,FileAdd,FileDelete,NAD,NUC,AGE,NMS,NMD,Entropy ,MLMF,NDVE,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
1,4,2,2,6,0,0,0,76,15,1,1,0.0,1568,8,28,1,219,219,0,7839,7821,18,64,64,0,1,100.0,NoArch
1,9,0,9,9,1,0,1,17,1449,1,1,0.0,385,4,298,2,38,37,1,2439,2408,31,11,10,1,1,100.0,NoArch
7,34,6,28,40,4,0,4,9,3165,1,4,2.478389825,1958,5,73,1,296,294,2,10355,10232,123,102,102,0,1,100.0,NoArch
5,14,18,4,32,0,0,0,5,93,1,4,1.650204706,1680,1,107,6,200,202,2,7581,7583,2,80,80,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,44,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
11,90,61,29,151,1,0,1,56,533,1,5,3.090023806,7908,5,24,0,1220,1215,5,39341,39176,165,378,377,1,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,100.0,NoArch
4,261,21,240,282,1,0,1,67,276,1,2,1.067110766,3286,15,6,0,405,385,20,17793,16561,1232,139,130,9,1,99.94186047,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,33,24,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
4,207,44,163,251,1,0,1,71,66,1,3,1.283424337,3225,11,1,0,402,376,26,15585,14708,877,182,172,10,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
3,14,7,7,21,0,0,0,15,13,1,1,1.378783493,1272,2,38,5,203,201,2,6964,6949,15,53,52,1,1,100.0,NoArch
1,1,1,0,2,0,0,0,17,249,1,1,0.0,1178,10,0,0,154,154,0,5400,5400,0,39,39,0,1,100.0,NoArch
1,1,1,0,2,0,0,0,21,6,1,1,0.0,477,9,0,0,69,69,0,1940,1938,2,18,18,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,48,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,2,0,2,2,1,0,1,19,122,1,1,0.0,1750,13,0,0,245,245,0,8856,8850,6,67,67,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,235,2,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
21,308,196,112,504,6,2,8,75,1023,1,8,3.807499453,5345,2,12,0,656,649,7,22778,22165,613,317,309,8,1,99.46996466,NoArch
2,186,97,89,283,1,0,1,9,21,1,2,0.970535692,1390,1,6,0,163,157,6,5807,5479,328,56,50,6,0,99.91638796,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
6,22,24,2,46,0,0,0,56,194,1,2,2.241490537,5959,4,38,2,996,999,3,30285,30326,41,298,298,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,72,28,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,41,2,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
